TotalPop,Female,Male,Asian,NonHispA,White,NonHispW,Am_Indian,Hawaii_PI,TotalHisp,NonHispB,Black,OtherRace,Bachelor,Associate,Master,HighSch,College,9_12Grade,Less9Grade,25_Older,Pop5Plus,CashAssis,BelowPover,MedianInco,Unemployed,BornForeig,ArmedForce,WithChild,Married,Profession,insurance,Disabili,NAME,state,county,tract
4083,1959,2124,308,308,2909,2742,27,61,662,76,76,212,1132,310,513,277,531,40,14,3096,3958,37,229,153575,42,521,71,506,1780,1252,3884,378,Census Tract 96.02; San Diego County; California,6,73,9602
6270,2927,3343,572,514,3452,3035,53,10,1812,581,584,697,1276,891,549,288,1091,137,177,4747,6052,545,1012,70571,158,1150,285,512,1910,1623,5630,446,Census Tract 96.03; San Diego County; California,6,73,9603
3212,1543,1669,439,360,2112,1898,0,0,601,185,185,84,846,149,215,287,663,155,38,2549,3080,55,174,90282,112,520,104,229,1478,892,2950,452,Census Tract 96.04; San Diego County; California,6,73,9604
3595,1660,1935,135,135,2875,2554,8,0,782,0,0,117,867,179,378,343,560,52,7,2575,3307,42,168,132094,79,245,17,415,1596,925,3519,430,Census Tract 97.03; San Diego County; California,6,73,9703
6587,3722,2865,378,213,4442,3991,0,0,1217,609,609,361,1676,406,741,346,734,70,27,4563,5995,183,528,114712,316,739,40,908,2588,2059,6448,685,Census Tract 97.04; San Diego County; California,6,73,9704
3700,1779,1921,300,272,2537,2337,0,0,650,101,101,113,1057,162,464,288,534,18,0,2746,3580,66,117,136742,37,447,0,438,1827,1083,3597,395,Census Tract 97.05; San Diego County; California,6,73,9705
7197,3535,3662,684,684,5135,4672,98,12,1413,66,66,428,2130,341,640,379,666,91,0,5005,6694,90,645,138617,255,902,0,949,3083,2102,6904,670,Census Tract 97.06; San Diego County; California,6,73,9706
5070,2761,2309,317,297,3801,3453,0,0,852,161,161,121,1587,444,571,401,729,10,16,4007,4763,46,174,130543,20,438,35,478,2424,2008,4808,614,Census Tract 98.01; San Diego County; California,6,73,9801
7026,3566,3460,632,608,4480,3880,0,59,1522,348,395,526,1586,579,598,584,867,93,22,4665,6723,179,859,107429,564,717,140,801,2985,1829,6678,792,Census Tract 98.02; San Diego County; California,6,73,9802
5792,3109,2683,711,703,3888,3611,0,0,805,268,268,229,1245,408,628,523,623,173,24,4104,5410,155,120,148026,111,809,71,632,2623,1423,5677,838,Census Tract 98.04; San Diego County; California,6,73,9804
4559,2588,1971,224,193,3069,2949,30,0,709,78,78,183,951,281,549,475,590,80,40,3229,4213,57,202,101644,52,365,52,492,1953,1508,4311,408,Census Tract 98.05; San Diego County; California,6,73,9805
1462,251,1211,199,145,987,803,0,0,406,91,91,54,95,120,290,96,215,0,0,927,1462,0,0,-666666666,0,197,1265,0,755,70,14,9,Census Tract 99.01; San Diego County; California,6,73,9901
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,0,0,0,0,0,0,0,0,Census Tract 99.02; San Diego County; California,6,73,9902
3948,1874,2074,693,693,1957,361,22,0,2691,169,169,454,479,280,116,468,673,388,189,2848,3643,87,220,101591,129,1641,0,435,2005,515,3728,346,Census Tract 100.01; San Diego County; California,6,73,10001
4972,2185,2787,884,859,1281,463,283,38,3095,133,146,902,469,385,131,1329,1011,290,90,4052,4773,114,494,98913,68,1336,32,378,2544,472,4774,735,Census Tract 100.03; San Diego County; California,6,73,10003
5229,2609,2620,497,471,2231,475,0,0,4267,4,15,855,365,561,122,763,395,387,233,3304,4963,212,417,105074,143,1534,0,416,2226,326,4601,631,Census Tract 100.04; San Diego County; California,6,73,10004
6443,3656,2787,266,266,1690,337,0,0,5768,71,71,1884,227,381,158,728,1181,898,785,4761,5998,780,1419,35503,352,3227,0,559,2398,380,5954,1086,Census Tract 100.05; San Diego County; California,6,73,10005
5436,2781,2655,131,131,1517,150,19,141,4939,92,92,1600,434,183,87,833,823,776,402,3904,5084,291,559,74063,443,2419,19,595,2362,584,4845,677,Census Tract 100.09; San Diego County; California,6,73,10009
4807,2302,2505,577,496,1435,460,272,96,3641,95,109,774,471,235,77,916,605,457,213,3288,4630,261,594,65000,271,1710,0,516,1909,409,4379,563,Census Tract 100.10; San Diego County; California,6,73,10010
4472,2006,2466,445,336,980,283,34,0,3388,420,464,827,198,296,89,645,781,208,147,2970,4232,143,262,111429,128,1810,5,548,1792,545,4099,599,Census Tract 100.11; San Diego County; California,6,73,10011
4605,2316,2289,72,72,1197,56,141,0,4363,52,52,1019,354,80,109,807,578,535,298,2999,4341,363,421,86111,343,2092,0,518,1757,431,3542,832,Census Tract 100.12; San Diego County; California,6,73,10012
4845,2239,2606,0,0,1316,74,120,21,4651,70,133,1135,160,176,53,552,463,794,326,2962,4573,216,528,69459,229,2282,0,700,1660,447,4345,422,Census Tract 100.13; San Diego County; California,6,73,10013
4646,2055,2591,462,251,1402,357,0,0,3545,428,470,762,644,131,153,741,529,313,63,2966,4333,170,213,129107,237,1515,85,532,1959,639,3877,400,Census Tract 100.15; San Diego County; California,6,73,10015
3217,60,3157,69,69,1426,700,78,18,1417,903,940,402,95,122,5,571,593,821,205,3045,3217,0,0,-666666666,0,515,0,0,895,0,0,0,Census Tract 100.16; San Diego County; California,6,73,10016
6581,3244,3337,1163,1129,1661,465,159,0,3799,619,619,1382,735,443,258,982,1182,163,130,4211,6281,165,501,108042,240,2135,369,794,2799,1042,5601,550,Census Tract 100.17; San Diego County; California,6,73,10017
6695,3573,3122,1628,1628,1493,454,10,0,3799,539,539,1397,1157,213,434,1021,662,107,195,3954,6127,193,157,139643,246,1870,575,1135,2929,1446,5882,403,Census Tract 100.18; San Diego County; California,6,73,10018
3568,1853,1715,821,821,862,752,0,0,1548,415,447,431,966,439,127,228,303,89,62,2515,3368,59,171,131316,151,1223,346,341,1874,718,3203,297,Census Tract 100.19; San Diego County; California,6,73,10019
6592,3106,3486,388,214,2662,805,146,0,5045,377,377,1473,325,431,138,1221,1101,505,207,4391,6057,445,1616,57500,304,2108,165,735,2621,581,5667,679,Census Tract 101.03; San Diego County; California,6,73,10103
3203,1472,1731,321,321,1399,1056,37,0,1560,129,153,303,386,362,65,460,607,184,140,2328,3072,263,172,103315,80,871,147,362,1448,610,2881,428,Census Tract 101.04; San Diego County; California,6,73,10104
4704,2418,2286,251,251,1260,502,59,0,3789,118,118,1081,430,245,58,599,367,652,265,2933,4477,402,1128,50833,159,1619,14,537,1761,517,4271,551,Census Tract 101.06; San Diego County; California,6,73,10106
5928,2902,3026,664,645,2160,948,42,0,3990,52,52,1122,356,436,105,1006,1024,510,167,3872,5750,157,275,85875,273,2019,208,637,2486,952,5241,638,Census Tract 101.07; San Diego County; California,6,73,10107
4824,2334,2490,410,410,1427,372,0,15,3799,161,188,1166,465,348,81,650,719,359,217,3083,4725,120,229,104630,253,1737,15,577,2016,692,4297,409,Census Tract 101.09; San Diego County; California,6,73,10109
7368,4106,3262,751,751,2348,821,0,213,5379,140,140,1248,567,530,138,1327,768,578,172,4631,6956,561,1522,68333,331,2405,174,860,2849,813,6549,812,Census Tract 101.10; San Diego County; California,6,73,10110
3614,2088,1526,31,25,1355,151,58,0,3333,79,79,796,234,110,55,481,444,519,158,2340,3424,117,598,59561,101,1651,0,407,1340,330,2988,358,Census Tract 101.11; San Diego County; California,6,73,10111
5241,2701,2540,267,218,1800,561,9,0,4101,171,311,1151,309,212,92,612,634,542,274,2957,4915,536,1195,57083,380,1759,91,832,1740,339,4706,736,Census Tract 101.12; San Diego County; California,6,73,10112
3562,1638,1924,243,232,2297,1903,26,11,913,282,297,117,561,306,269,327,525,33,10,2301,3413,105,1072,108250,380,211,45,323,1047,631,3333,562,Census Tract 102.01; San Diego County; California,6,73,10201
3473,1834,1639,97,72,2111,1479,14,39,1654,85,85,359,768,192,151,391,569,187,0,2452,3266,95,319,103247,38,407,82,337,1072,915,3085,443,Census Tract 102.02; San Diego County; California,6,73,10202
4240,2219,2021,416,395,2253,1601,49,9,1959,122,122,415,417,301,147,793,468,420,159,2920,3931,312,524,77722,124,847,145,474,1702,733,3827,386,Census Tract 103; San Diego County; California,6,73,10300
